name,entry_id,icsd_id,composition_generic,unit_cell,sites
HfVF6,16338,94455,ABC6,"[[3.985935, -3.985935, 0.0], [-3.985935, 0.0, -3.985935], [3.985935, 3.985935, 0.0]]","['F @ 0.751 0 0.249', 'F @ 0.249 0 0.249', 'F @ 0.249 0.497 0.249', 'F @ 0.249 0 0.751', 'F @ 0.751 0 0.751', 'F @ 0.751 0.503 0.751', 'Hf @ 0 0 0', 'V @ 0.5 0 0.5']"
TlCuS2,5596,28742,ABC2,"[[5.655948, 0.0, 0.0], [0.0, 5.655948, 0.0], [-2.827974, -2.827974, 5.689567]]","['Cu @ 0 0 0', 'Cu @ 0.25 0.75 0.5', 'S @ 0.328 0.375 0.25', 'S @ 0.922 0.875 0.25', 'S @ 0.625 0.0779 0.75', 'S @ 0.125 0.672 0.75', 'Tl @ 0.5 0.5 0', 'Tl @ 0.75 0.25 0.5']"
CsTmS2,27454,602876,ABC2,"[[4.045661, 0.0, 0.0], [-2.02283, 3.503637, 0.0], [0.0, 0.0, 16.010672]]","['Cs @ 0.333 0.667 0.25', 'Cs @ 0.667 0.333 0.75', 'S @ 0.667 0.333 0.0904', 'S @ 0.667 0.333 0.41', 'S @ 0.333 0.667 0.59', 'S @ 0.333 0.667 0.91', 'Tm @ 0 0 0', 'Tm @ 0 0 0.5']"
BW,4587,24281,AB,"[[3.141282, 0.0, 0.0], [0.0, 3.141282, 0.0], [-1.570641, -1.570641, 8.504102]]","['B @ 0.594 0.094 0.188', 'B @ 0.656 0.656 0.312', 'B @ 0.344 0.344 0.688', 'B @ 0.906 0.406 0.812', 'W @ 0.0532 0.553 0.106', 'W @ 0.197 0.197 0.394', 'W @ 0.803 0.803 0.606', 'W @ 0.447 0.947 0.894']"
BiPd2Pb,10951,58830,ABC2,"[[1.772971, 0.0, 5.349013], [-3.630969, 4.396162, -0.002676], [-3.630969, -4.396162, -0.002676]]","['Bi @ 0.426 0.945 0.496', 'Bi @ 0.426 0.496 0.945', 'Pb @ 0.992 0.359 0.359', 'Pb @ 0.992 0.873 0.873', 'Pd @ 0.536 0.0386 0.0386', 'Pd @ 0.871 0.829 0.342', 'Pd @ 0.523 0.448 0.448', 'Pd @ 0.871 0.342 0.829']"
Nb3Sn,19415,150878,AB3,"[[5.31724, 0.0, 0.0], [0.0, 5.31724, 0.0], [0.0, 0.0, 5.335653]]","['Nb @ 0.249 0.5 0', 'Nb @ 0.751 0.5 0', 'Nb @ 0 0 0.25', 'Nb @ 0.5 0.249 0.5', 'Nb @ 0.5 0.751 0.5', 'Nb @ 0 0 0.75', 'Sn @ 0.5 0 0', 'Sn @ 0 0.5 0.5']"
ZrAl3,18198,106259,AB3,"[[0.0, -4.014992, 0.0], [-4.014992, 0.0, 0.0], [2.007496, 2.007496, -8.665941]]","['Al @ 0.5 0 0', 'Al @ 0 0.5 0', 'Al @ 0.625 0.625 0.251', 'Al @ 0.75 0.25 0.5', 'Al @ 0.25 0.75 0.5', 'Al @ 0.375 0.375 0.749', 'Zr @ 0.119 0.119 0.238', 'Zr @ 0.881 0.881 0.762']"
Ti2GeC,7914,42921,ABC2,"[[3.086446, 0.0, 0.0], [-1.543223, 2.672945, 0.0], [0.0, 0.0, 13.012335]]","['C @ 0 0 0', 'C @ 0 0 0.5', 'Ge @ 0.667 0.333 0.25', 'Ge @ 0.333 0.667 0.75', 'Ti @ 0.333 0.667 0.0891', 'Ti @ 0.333 0.667 0.411', 'Ti @ 0.667 0.333 0.589', 'Ti @ 0.667 0.333 0.911']"
Ge,22044,173890,A,"[[3.512204, 3.512204, 3.512204], [-3.512204, 3.512204, -3.512204], [-3.512204, -3.512204, 3.512204]]","['Ge @ 0.203 0 0', 'Ge @ 0.797 0 0', 'Ge @ 0.5 0.5 0.203', 'Ge @ 0.297 0.797 0.297', 'Ge @ 0 0.297 0.5', 'Ge @ 0 0.703 0.5', 'Ge @ 0.703 0.203 0.703', 'Ge @ 0.5 0.5 0.797']"
CdSnAs2,3559,16737,ABC2,"[[6.194944, 0.0, 0.0], [0.0, 6.194944, 0.0], [-3.097472, -3.097472, 6.050157]]","['As @ 0.378 0.375 0.25', 'As @ 0.872 0.875 0.25', 'As @ 0.625 0.128 0.75', 'As @ 0.125 0.622 0.75', 'Cd @ 0 0 0', 'Cd @ 0.25 0.75 0.5', 'Sn @ 0.5 0.5 0', 'Sn @ 0.75 0.25 0.5']"
ErMn2,18408,106832,AB2,"[[3.573621, -3.573635, -0.000429], [-3.573911, -0.000718, -3.574042], [3.574654, 3.574667, -2.5e-05]]","['Er @ 1 1.71e-05 6.3e-06', 'Er @ 0.75 0.5 0.25', 'Mn @ 0.375 0.75 0.125', 'Mn @ 0.375 0.25 0.625', 'Mn @ 0.875 0.25 0.625', 'Mn @ 0.375 0.75 0.625']"
Cr3Os,29569,626494,AB3,"[[4.626572, 0.0, 0.0], [0.0, 4.626572, 0.0], [0.0, 0.0, 4.626572]]","['Cr @ 0.5 0.25 0', 'Cr @ 0.5 0.75 0', 'Cr @ 0 0.5 0.25', 'Cr @ 0.25 0 0.5', 'Cr @ 0.75 0 0.5', 'Cr @ 0 0.5 0.75', 'Os @ 0 0 0', 'Os @ 0.5 0.5 0.5']"
CeCdAsO,15647,88268,ABCD,"[[4.231311, 0.0, 0.0], [0.0, 4.231311, 0.0], [0.0, 0.0, 9.238535]]","['As @ 0.75 0.75 0.304', 'As @ 0.25 0.25 0.696', 'Cd @ 0.75 0.25 0.5', 'Cd @ 0.25 0.75 0.5', 'Ce @ 0.25 0.25 0.125', 'Ce @ 0.75 0.75 0.875', 'O @ 0.75 0.25 0', 'O @ 0.25 0.75 0']"
SiRh,14278,79235,AB,"[[4.619236, 0.0, 0.015973], [0.0, 4.604162, 0.0], [-2.438653, 0.0, 5.054278]]","['Rh @ 0.3 0.855 0.117', 'Rh @ 0.7 0.355 0.383', 'Rh @ 0.3 0.645 0.617', 'Rh @ 0.7 0.145 0.883', 'Si @ 0.789 0.648 0.0612', 'Si @ 0.211 0.148 0.439', 'Si @ 0.789 0.852 0.561', 'Si @ 0.211 0.352 0.939']"
SrIn2Pd,25199,410402,ABC2,"[[4.579567, 0.0, 0.0], [2.289784, 5.447941, 0.0], [0.0, 0.0, 7.988898]]","['In @ 0.652 0.697 0.0547', 'In @ 0.652 0.697 0.445', 'In @ 0.348 0.303 0.555', 'In @ 0.348 0.303 0.945', 'Pd @ 0.22 0.56 0.25', 'Pd @ 0.78 0.44 0.75', 'Sr @ 0.94 0.121 0.25', 'Sr @ 0.0604 0.879 0.75']"
DySi,21014,165434,AB,"[[7.901309, 0.0, 0.0], [0.0, 3.833435, 0.0], [0.0, 0.0, 5.702684]]","['Dy @ 0.179 0.25 0.115', 'Dy @ 0.679 0.25 0.385', 'Dy @ 0.321 0.75 0.615', 'Dy @ 0.821 0.75 0.885', 'Si @ 0.462 0.75 0.129', 'Si @ 0.962 0.75 0.371', 'Si @ 0.038 0.25 0.629', 'Si @ 0.538 0.25 0.871']"
PrSi2Ru,16844,99170,ABC2,"[[4.513876, 0.0, 0.007812], [0.0, 4.10227, 0.0], [-1.762117, 0.0, 8.156584]]","['Pr @ 0.586 0.75 0.2', 'Pr @ 0.414 0.25 0.8', 'Ru @ 0.12 0.25 0.388', 'Ru @ 0.88 0.75 0.612', 'Si @ 0.0352 0.25 0.0914', 'Si @ 0.668 0.25 0.492', 'Si @ 0.332 0.75 0.508', 'Si @ 0.965 0.75 0.909']"
BeO,3721,18147,AB,"[[4.617146, 0.0, 0.0], [0.0, 4.617146, 0.0], [0.0, 0.0, 2.643435]]","['Be @ 0.673 0.327 0', 'Be @ 0.327 0.673 0', 'Be @ 0.173 0.173 0.5', 'Be @ 0.827 0.827 0.5', 'O @ 0.312 0.312 0', 'O @ 0.688 0.688 0', 'O @ 0.812 0.188 0.5', 'O @ 0.188 0.812 0.5']"
YBi2BrO4,16081,92418,ABC2D4,"[[3.886087, 0.0, 0.0], [0.0, 3.886087, 0.0], [0.0, 0.0, 9.123268]]","['Bi @ 0.5 0.5 0.274', 'Bi @ 0.5 0.5 0.726', 'Br @ 0 0 0.5', 'O @ 0.5 0 0.151', 'O @ 0 0.5 0.151', 'O @ 0.5 0 0.849', 'O @ 0 0.5 0.849', 'Y @ 0 0 0']"
KHF2,2495,9345,ABC2,"[[2.740148, 2.740148, -3.243064], [2.740148, -2.740148, 3.243064], [-2.740148, -2.740148, -3.243064]]","['F @ 0.647 0.795 0.147', 'F @ 0.147 0.5 0.353', 'F @ 0.853 0.5 0.647', 'F @ 0.353 0.205 0.853', 'H @ 0.5 0.5 0', 'H @ 0 0.5 0.5', 'K @ 0.25 0 0.25', 'K @ 0.75 0 0.75']"
MnPd3,17678,104941,AB3,"[[0.0, 3.939182, 0.0], [3.939182, 0.0, 0.0], [-1.969591, -1.969591, -7.80498]]","['Mn @ 0.125 0.125 0.249', 'Mn @ 0.875 0.875 0.751', 'Pd @ 0.5 0 0', 'Pd @ 0 0.5 0', 'Pd @ 0.625 0.625 0.251', 'Pd @ 0.75 0.25 0.5', 'Pd @ 0.25 0.75 0.5', 'Pd @ 0.375 0.375 0.749']"
SmBi2ClO4,16063,92400,ABC2D4,"[[3.901734, 0.0, 0.0], [0.0, 3.901734, 0.0], [0.0, 0.0, 8.931817]]","['Bi @ 0.5 0.5 0.285', 'Bi @ 0.5 0.5 0.715', 'Cl @ 0 0 0.5', 'O @ 0.5 0 0.16', 'O @ 0 0.5 0.16', 'O @ 0.5 0 0.84', 'O @ 0 0.5 0.84', 'Sm @ 0 0 0']"
SnPd,17950,105683,AB,"[[6.396085, 0.0, 0.0], [0.0, 3.941191, 0.0], [0.0, 0.0, 6.218308]]","['Pd @ 0.186 0.25 0.0118', 'Pd @ 0.686 0.75 0.488', 'Pd @ 0.314 0.25 0.512', 'Pd @ 0.814 0.75 0.988', 'Sn @ 0.594 0.25 0.188', 'Sn @ 0.0938 0.75 0.312', 'Sn @ 0.906 0.25 0.688', 'Sn @ 0.406 0.75 0.812']"
AlAgTe2,5600,28746,ABC2,"[[6.399315, 0.0, 0.0], [0.0, 6.399315, 0.0], [-3.199657, -3.199657, 6.084283]]","['Ag @ 0 0 0', 'Ag @ 0.25 0.75 0.5', 'Al @ 0.5 0.5 1', 'Al @ 0.75 0.25 0.5', 'Te @ 0.855 0.875 0.25', 'Te @ 0.395 0.375 0.25', 'Te @ 0.625 0.145 0.75', 'Te @ 0.125 0.605 0.75']"
CuPt7,18915,108775,AB7,"[[3.934639, -3.934639, 0.0], [-3.934639, 0.0, -3.934639], [3.934639, 3.934639, 0.0]]","['Cu @ 0.5 0 0.5', 'Pt @ 0 0.5 0', 'Pt @ 0.5 0.5 0', 'Pt @ 0 0 0', 'Pt @ 0.5 0 0', 'Pt @ 0 0 0.5', 'Pt @ 0 0.5 0.5', 'Pt @ 0.5 0.5 0.5']"
Cu3SbSe4,29781,629000,AB3C4,"[[0.0, -5.70549, 0.0], [-5.70549, 0.0, 0.0], [2.852745, 2.852745, -5.661798]]","['Cu @ 0.5 0.5 0', 'Cu @ 0.75 0.25 0.5', 'Cu @ 0.25 0.75 0.5', 'Sb @ 0 0 0', 'Se @ 0.867 0.402 0.269', 'Se @ 0.402 0.867 0.269', 'Se @ 0.133 0.133 0.731', 'Se @ 0.598 0.598 0.731']"
Cr3Si,3600,16835,AB3,"[[4.502232, 0.0, 0.0], [0.0, 4.502232, 0.0], [0.0, 0.0, 4.502232]]","['Cr @ 0.5 0.25 0', 'Cr @ 0.5 0.75 0', 'Cr @ 0 0.5 0.25', 'Cr @ 0.25 0 0.5', 'Cr @ 0.75 0 0.5', 'Cr @ 0 0.5 0.75', 'Si @ 0 0 0', 'Si @ 0.5 0.5 0.5']"
