name,entry_id,icsd_id,composition_generic,unit_cell,sites,metals,oxstate_label
ZnSe,8152,43595,AB,"[[4.034065, 0.0, 0.0], [-2.017033, 3.493272, 0.0], [0.0, 0.0, 6.646551]]","['Se @ 0.333 0.667 0.374', 'Se @ 0.667 0.333 0.874', 'Zn @ 0.333 0.667 0.000512', 'Zn @ 0.667 0.333 0.501']",['Zn'],"{'Zn': 2, 'Se': -2}"
TiF3,5608,28783,AB3,"[[3.860727, -0.003516, -0.003456], [0.063864, 3.8602, -0.003456], [0.063864, 0.062758, 3.859692]]","['F @ 0.5 0 0', 'F @ 0 0.5 0', 'F @ 0 0 0.5', 'Ti @ 0 0 0']",['Ti'],"{'Ti': 3, 'F': -1}"
CaO,20481,161831,AB,"[[3.944923, 0.0, 0.0], [-1.972462, 3.416088, 0.0], [0.0, 0.0, 4.748315]]","['Ca @ 0.333 0.667 0', 'Ca @ 0.667 0.333 0.5', 'O @ 0.333 0.667 0.5', 'O @ 0.667 0.333 1']",['Ca'],"{'Ca': 2, 'O': -2}"
CdO,20482,161837,AB,"[[3.629575, 0.0, 0.0], [-1.814787, 3.142994, 0.0], [0.0, 0.0, 5.737364]]","['Cd @ 0.333 0.667 1', 'Cd @ 0.667 0.333 0.5', 'O @ 0.333 0.667 0.385', 'O @ 0.667 0.333 0.885']",['Cd'],"{'Cd': 2, 'O': -2}"
Li3N,6431,34280,AB3,"[[3.622756, -4.1e-05, 0.0], [-1.811414, 3.137379, 0.0], [0.0, 0.0, 3.856524]]","['Li @ 0.667 0.333 0', 'Li @ 0.333 0.667 0', 'Li @ 0 0 0.5', 'N @ 0 0 0']",['Li'],"{'Li': 1, 'N': -3}"
ZnI2,13892,77058,AB2,"[[-2.043677, 3.539753, 0.0], [4.086574, -0.000451, -0.000185], [2.04376, -1.179869, -7.278255]]","['I @ 0.742 0.259 0.224', 'I @ 0.258 0.741 0.776', 'Zn @ 0 0 0']",['Zn'],"{'Zn': 2, 'I': -1}"
CuO,3294,16025,AB,"[[2.318764, -1.729402, 0.001364], [2.318764, 1.729402, 0.001364], [-0.838611, 0.0, 5.02344]]","['Cu @ 0 0.5 0', 'Cu @ 0.5 0 0.5', 'O @ 0.571 0.429 0.25', 'O @ 0.429 0.571 0.75']",['Cu'],"{'Cu': 2, 'O': -2}"
TiSe,31062,652053,AB,"[[3.446616, 0.0, 0.0], [-1.723308, 2.984971, 0.0], [0.0, 0.0, 6.864945]]","['Se @ 0 0 0', 'Se @ 0 0 0.5', 'Ti @ 0.333 0.667 0.25', 'Ti @ 0.667 0.333 0.75']",['Ti'],"{'Ti': 2, 'Se': -2}"
MgO,22327,181458,AB,"[[3.481461, 0.0, 0.0], [-1.74073, 3.014775, 0.0], [0.0, 0.0, 4.188198]]","['Mg @ 0.333 0.667 0.25', 'Mg @ 0.667 0.333 0.75', 'O @ 0.667 0.333 0.25', 'O @ 0.333 0.667 0.75']",['Mg'],"{'Mg': 2, 'O': -2}"
Ni3Sb,13815,76693,AB3,"[[2.960098, -2.960098, 0.0], [-2.960098, 0.0, -2.960098], [2.960098, 2.960098, 0.0]]","['Ni @ 0.75 0.5 0.25', 'Ni @ 0.5 0 0.5', 'Ni @ 0.25 0.5 0.75', 'Sb @ 0 0 0']",['Ni'],"{'Ni': 1, 'Sb': -3}"
AgI,5403,27845,AB,"[[4.628701, 0.0, 0.0], [-2.314351, 4.008283, 0.0], [0.0, 0.0, 7.614285]]","['Ag @ 0.667 0.333 0.13', 'Ag @ 0.333 0.667 0.63', 'I @ 0.333 0.667 0.000444', 'I @ 0.667 0.333 0.5']",['Ag'],"{'Ag': 1, 'I': -1}"
PdN,21511,169397,AB,"[[3.266407, 0.0, 0.0], [-1.633204, 2.828431, 0.0], [0.0, 0.0, 5.661029]]","['N @ 0.333 0.667 0.368', 'N @ 0.667 0.333 0.868', 'Pd @ 0.333 0.667 0.00435', 'Pd @ 0.667 0.333 0.504']",['Pd'],"{'Pd': 3, 'N': -3}"
CrSe,9510,53215,AB,"[[3.741851, 0.0, 0.0], [-1.870926, 3.240622, 0.0], [0.0, 0.0, 6.105469]]","['Cr @ 0 0 0', 'Cr @ 0 0 0.5', 'Se @ 0.333 0.667 0.25', 'Se @ 0.667 0.333 0.75']",['Cr'],"{'Cr': 2, 'Se': -2}"
CeH3,29096,621290,AB3,"[[2.748691, -2.748691, 0.0], [-2.748691, 0.0, -2.748691], [2.748691, 2.748691, 0.0]]","['Ce @ 0 0 0', 'H @ 0.75 0.5 0.25', 'H @ 0.5 0 0.5', 'H @ 0.25 0.5 0.75']",['Ce'],"{'Ce': -3, 'H': 1}"
CaO2,3853,20275,AB2,"[[2.298853, -2.298853, 0.0], [2.298853, 2.298853, 0.0], [-2.298853, 0.0, 3.327584]]","['Ca @ 0.5 0.5 0', 'O @ 0.113 0.113 0.226', 'O @ 0.887 0.887 0.774']",['Ca'],"{'Ca': 4, 'O': -2}"
LaBr,4286,23354,AB,"[[4.107885, 0.0, 0.0], [-2.053943, 3.557533, 0.0], [-2.053943, 1.185844, 10.367414]]","['Br @ 0.39 0.61 0.171', 'Br @ 0.61 0.39 0.829', 'La @ 0.119 0.881 0.358', 'La @ 0.881 0.119 0.642']",['La'],"{'La': 1, 'Br': -1}"
AgCl,10183,56541,AB,"[[3.904001, 0.0, 0.073367], [0.0, 3.990185, 0.0], [-0.736644, 0.0, 5.530421]]","['Ag @ 0.182 0.25 0.219', 'Ag @ 0.818 0.75 0.781', 'Cl @ 0.706 0.75 0.264', 'Cl @ 0.294 0.25 0.736']",['Ag'],"{'Ag': 1, 'Cl': -1}"
AgCl,10184,56544,AB,"[[-3.711997, 0.0, 0.0], [0.0, 0.0, -4.039422], [-1.855998, -5.539373, 0.0]]","['Ag @ 0.395 0.75 0.209', 'Ag @ 0.605 0.25 0.791', 'Cl @ 0.866 0.25 0.269', 'Cl @ 0.134 0.75 0.731']",['Ag'],"{'Ag': 1, 'Cl': -1}"
SnSe,12767,71338,AB,"[[-3.040012, -3.039323, 0.0], [-3.040012, 3.039323, 0.0], [0.0, 0.0, -11.386072]]","['Se @ 0.25 0.25 0.381', 'Se @ 0.75 0.75 0.619', 'Sn @ 0.75 0.75 0.38', 'Sn @ 0.25 0.25 0.62']",['Sn'],"{'Sn': 2, 'Se': -2}"
CuI,15080,84217,AB,"[[4.201037, 0.000164, 0.000156], [-2.100376, 3.637959, 0.0], [0.000256, 0.000148, 7.257354]]","['Cu @ 3.76e-05 1.73e-05 0.657', 'Cu @ 0.333 0.667 0.863', 'I @ 4.07e-05 2.14e-05 0.0157', 'I @ 0.333 0.667 0.496']",['Cu'],"{'Cu': 1, 'I': -1}"
InN,4825,25677,AB,"[[3.555749, 0.0, 0.0], [-1.777875, 3.077857, 0.0], [0.0, 0.0, 5.762481]]","['In @ 0.333 0.667 0.999', 'In @ 0.667 0.333 0.499', 'N @ 0.333 0.667 0.376', 'N @ 0.667 0.333 0.876']",['In'],"{'In': 3, 'N': -3}"
PbS,12527,68701,AB,"[[-2.992042, -2.999719, 0.0], [-2.992042, 2.999719, 0.0], [0.0, 0.0, -11.063526]]","['Pb @ 0.747 0.753 0.371', 'Pb @ 0.247 0.253 0.629', 'S @ 0.232 0.268 0.385', 'S @ 0.732 0.768 0.615']",['Pb'],"{'Pb': 2, 'S': -2}"
ZrCl,1775,868,AB,"[[0.0, -3.4355, 0.0], [-2.984062, 1.71775, 7.7e-05], [1.975332, 0.0, -8.931582]]","['Cl @ 0.11 0.22 0.329', 'Cl @ 0.89 0.78 0.671', 'Zr @ 0.378 0.756 0.134', 'Zr @ 0.622 0.244 0.866']",['Zr'],"{'Zr': 1, 'Cl': -1}"
NiTe,13823,76730,AB,"[[3.849864, 0.0, 0.0], [-1.924932, 3.33408, 0.0], [-1.924932, 1.11136, 6.678442]]","['Ni @ 0.131 0.869 0.394', 'Ni @ 0.869 0.131 0.606', 'Te @ 0.741 0.259 0.224', 'Te @ 0.259 0.741 0.776']",['Ni'],"{'Ni': 2, 'Te': -2}"
ZrCl,1776,869,AB,"[[-1.719893, 2.978941, 0.0], [-1.719893, -2.978941, 0.0], [-1.719893, 0.992981, 8.918145]]","['Cl @ 0.22 0.61 0.17', 'Cl @ 0.78 0.39 0.83', 'Zr @ 0.756 0.878 0.366', 'Zr @ 0.244 0.122 0.634']",['Zr'],"{'Zr': 1, 'Cl': -1}"
CuAs,28016,610308,AB,"[[3.865634, 0.0, 0.0], [-1.932817, 3.347805, 0.0], [0.0, 0.0, 4.955406]]","['As @ 0.333 0.667 0.25', 'As @ 0.667 0.333 0.75', 'Cu @ 0 0 0', 'Cu @ 0 0 0.5']",['Cu'],"{'Cu': 3, 'As': -3}"
MoF3,5879,30612,AB3,"[[4.036096, 0.0, 0.0], [0.0, 4.036091, 0.0], [0.0, 0.0, 4.036086]]","['F @ 0.5 0 0', 'F @ 0 0.5 0', 'F @ 0 0 0.5', 'Mo @ 0 0 0']",['Mo'],"{'Mo': 3, 'F': -1}"
OsN,21264,167513,AB,"[[2.772149, 0.0, 0.0], [0.0, 3.726104, 0.0], [0.0, 0.0, 4.249215]]","['N @ 0.5 0.65 0.196', 'N @ 0 0.35 0.696', 'Os @ 0.5 0.137 0.394', 'Os @ 0 0.863 0.894']",['Os'],"{'Os': 3, 'N': -3}"
TaF3,5880,30613,AB3,"[[4.057798, 0.0, 0.0], [0.0, 4.057799, 0.0], [0.0, 0.0, 4.0578]]","['F @ 0.5 0 0', 'F @ 0 0.5 0', 'F @ 0 0 0.5', 'Ta @ 0 0 0']",['Ta'],"{'Ta': 3, 'F': -1}"
CdTe,23317,246693,AB,"[[3.032155, -3.058182, 0.0], [3.032155, 3.058182, 0.0], [0.0, 0.0, 6.035076]]","['Cd @ 0.277 0.723 0.25', 'Cd @ 0.723 0.277 0.75', 'Te @ 0.767 0.233 0.25', 'Te @ 0.233 0.767 0.75']",['Cd'],"{'Cd': 2, 'Te': -2}"
YCl,5897,30708,AB,"[[1.873754, -3.245437, 0.0], [-3.747508, 0.0, 0.0], [1.873754, -1.081813, -9.355689]]","['Cl @ 0.612 0.388 0.165', 'Cl @ 0.388 0.612 0.835', 'Y @ 0.216 0.784 0.351', 'Y @ 0.784 0.216 0.649']",['Y'],"{'Y': 1, 'Cl': -1}"
CuI,14100,78268,AB,"[[4.127183, 0.0, 0.0], [0.0, 4.127183, 0.0], [0.0, 0.0, 6.117535]]","['Cu @ 0 0 0', 'Cu @ 0.5 0.5 0', 'I @ 0 0.5 0.274', 'I @ 0.5 0 0.726']",['Cu'],"{'Cu': 1, 'I': -1}"
PtN,20742,163863,AB,"[[3.124357, 0.0, 0.0], [-1.562178, 2.705728, 0.0], [0.0, 0.0, 5.411416]]","['N @ 0.333 0.667 0.25', 'N @ 0.667 0.333 0.75', 'Pt @ 0 0 0', 'Pt @ 0 0 0.5']",['Pt'],"{'Pt': 3, 'N': -3}"
SnS,12304,67442,AB,"[[-2.914935, -2.897645, 0.0], [-2.914935, 2.897645, 0.0], [0.0, 0.0, -11.380144]]","['S @ 0.774 0.274 0.0944', 'S @ 0.274 0.774 0.906', 'Sn @ 0.25 0.75 0.132', 'Sn @ 0.75 0.25 0.868']",['Sn'],"{'Sn': 2, 'S': -2}"
ReN,22307,181300,AB,"[[2.781084, 0.0, 0.0], [-1.390542, 2.408518, 0.0], [0.0, 0.0, 5.901444]]","['N @ 0.333 0.667 0.25', 'N @ 0.667 0.333 0.75', 'Re @ 0 0 0', 'Re @ 0 0 0.5']",['Re'],"{'Re': 3, 'N': -3}"
VBr2O,4620,24381,ABC2,"[[3.655178, 0.0, 0.0], [0.0, 0.0, 3.643334], [-1.827589, -6.523145, -1.821667]]","['Br @ 0.638 0.138 0.275', 'Br @ 0.362 0.862 0.725', 'O @ 0 0.5 0', 'V @ 0 0 0']",['V'],"{'V': 4, 'Br': -1, 'O': -2}"
FeS,7954,42977,AB,"[[3.592578, 0.0, 0.0], [0.0, 3.592578, 0.0], [0.0, 0.0, 5.122173]]","['Fe @ 0 0 0', 'Fe @ 0.5 0.5 0', 'S @ 0 0.5 0.237', 'S @ 0.5 0 0.763']",['Fe'],"{'Fe': 2, 'S': -2}"
TlSbTe2,3086,15411,ABC2,"[[8.286774, 0.004598, 0.002795], [7.075579, 4.313565, 0.002795], [7.075579, 1.988856, 3.827702]]","['Sb @ 0.5 0.5 0.5', 'Te @ 0.239 0.239 0.239', 'Te @ 0.761 0.761 0.761', 'Tl @ 0 0 0']",['Tl'],"{'Tl': 7, 'Sb': -3, 'Te': -2}"
AlAs,10263,56967,AB,"[[3.793237, 0.0, 0.0], [-1.896619, 3.285151, 0.0], [0.0, 0.0, 5.977712]]","['Al @ 0 0 0', 'Al @ 0 0 0.5', 'As @ 0.333 0.667 0.25', 'As @ 0.667 0.333 0.75']",['Al'],"{'Al': 3, 'As': -3}"
LaN,20523,162195,AB,"[[4.115794, 0.0, 0.0], [-2.057897, 3.564175, 0.0], [0.0, 0.0, 5.908406]]","['La @ 0.333 0.667 0.999', 'La @ 0.667 0.333 0.499', 'N @ 0.333 0.667 0.411', 'N @ 0.667 0.333 0.911']",['La'],"{'La': 3, 'N': -3}"
InSb,30608,640432,AB,"[[4.658067, 0.0, 0.0], [-2.329033, 4.03381, 0.0], [0.0, 0.0, 7.678571]]","['In @ 0.667 0.333 0.488', 'In @ 0.333 0.667 0.988', 'Sb @ 0.333 0.667 0.362', 'Sb @ 0.667 0.333 0.862']",['In'],"{'In': 3, 'Sb': -3}"
Sr2NCl,25234,410769,ABC2,"[[-1.947848, 3.373772, 0.0], [3.895696, 0.0, 0.0], [1.947848, -1.124591, -7.055856]]","['Cl @ 0 0 0', 'N @ 0.5 0.5 0.5', 'Sr @ 0.77 0.23 0.309', 'Sr @ 0.23 0.77 0.691']",['Sr'],"{'Sr': 2, 'N': -3, 'Cl': -1}"
NbF3,11298,60246,AB3,"[[4.082539, 0.0, 0.0], [0.0, 4.082533, 0.0], [0.0, 0.0, 4.082527]]","['F @ 0.5 0 0', 'F @ 0 0.5 0', 'F @ 0 0 0.5', 'Nb @ 0 0 0']",['Nb'],"{'Nb': 3, 'F': -1}"
CsBr2F,12582,69124,ABC2,"[[4.201035, 0.0, 0.0], [0.0, 4.201035, 0.0], [0.0, 0.0, 7.307966]]","['Br @ 0.5 0.5 0.337', 'Br @ 0.5 0.5 0.663', 'Cs @ 0 0 0', 'F @ 0.5 0.5 0']",['Cs'],"{'Cs': 3, 'Br': -1, 'F': -1}"
InI,6948,38129,AB,"[[-4.786237, 0.0, 0.0], [0.0, 0.0, -4.909123], [-2.393118, -6.425951, 0.0]]","['I @ 0.855 0.25 0.289', 'I @ 0.145 0.75 0.711', 'In @ 0.398 0.75 0.204', 'In @ 0.602 0.25 0.796']",['In'],"{'In': 1, 'I': -1}"
CsS,22592,200474,AB,"[[0.0, 0.0, -5.342612], [-3.5723, 4.550443, 2.671306], [3.5723, 4.550443, 2.671306]]","['Cs @ 0.722 0.222 0.222', 'Cs @ 0.278 0.778 0.778', 'S @ 1 0.851 0.149', 'S @ 1 0.149 0.851']",['Cs'],"{'Cs': 2, 'S': -2}"
